InitialID,Initial
0,幫
1,滂
2,並
3,明
4,端
5,透
6,定
7,泥
8,知
9,徹
10,澄
11,孃
12,精
13,清
14,從
15,心
16,邪
17,莊
18,初
19,崇
20,生
21,俟
22,章
23,昌
24,船
25,書
26,常
27,見
28,溪
29,羣
30,疑
31,影
32,曉
33,匣
34,云
35,以
36,來
37,日
