InitialID,Initial
0,幫
1,滂
2,並
3,明
4,端
5,透
6,定
7,泥
8,來
9,知
10,徹
11,澄
12,孃
13,精
14,清
15,從
16,心
17,邪
18,莊
19,初
20,崇
21,生
22,俟
23,章
24,昌
25,常
26,書
27,船
28,日
29,以
30,見
31,溪
32,羣
33,疑
34,影
35,曉
36,匣
37,云
